id,产品类型,价格,传感器尺寸,传感器描述,传感器类型,型号,快门类型,显示屏类型,最高分辨率,有效像素,tags
366,消费，长焦,999,1/2.3英寸,,背照式CMOS,佳能SX600,,高清屏,4608×3456,1600万,手感 触感 握感 握把 握持 质感 手柄
367,中端单反,5770,APS画幅（23.5*15.6mm）,清洁图像传感器，图像除尘参考数据（需要另购的Capture NX 2 软件）,CMOS,尼康D7100套机(18-105mm),电子控制纵走式焦平面快门,高清屏,6000×4000,2410万,工艺 做工 设计 使用体验 使用 手感 触感 握感 握把 握持 质感 手柄 操作 操控性 可玩性 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 外壳 机身 质地 菜单功能 按键 功能
368,微单,9.9万,中画幅,,CMOS,哈苏H6D-50C,,触摸屏,8272×6200,5000万,
369,消费，专业,即将上市,1英寸,,CMOS,松下LX15,电子快门,触摸屏，旋转屏,,2010万,
370,微单,3万,全画幅（36*24mm）,,CMOS,松下LUMIX S1R套机 （R24105镜头）,,三向翻转屏幕,,4700万,
371,消费，专业,1299,其它尺寸（2/3英寸）,,X-Trans CMOS II,富士XQ2,,高清屏,4000×3000,1200万,工艺 做工 设计
372,消费，专业,359,1/2.3英寸,,CCD,尼康Coolpix A10,机械电子快门,TFT LCD屏,4608×3456,1614万,
373,微单,2799,APS-C画幅（23.6*15.6mm）,,CMOS,富士X-A20(XC 16-50mm II),电子控制纵走式焦平面快门,触摸屏，旋转屏,4896×3264,1630万,结构 外形 外观
374,微单,5199,4/3画幅,,Live MOS,奥林巴斯E-PL9(14-42mm EZ),电子控制纵走式焦平面快门,触摸屏，旋转屏,4608×3456,1610万,
375,高端单反,6.6万,24*36mm,,CMOS,徕卡M10-P橄榄绿限量版,机械快门,,,5976万,
376,,即将上市,,全画幅传感器,,卡尔·蔡司ZX1,,触摸屏,7488×4992,3740万,
377,消费，卡片，广角,3300,APS画幅（24*16mm）,,Foveon X3,适马DP1 Merrill,,高清屏,,4600万,工艺 做工 设计
378,360°相机,即将上市,1.0英寸,,背照式CMOS,理光Theta Z1,机械电子快门,,6720 x 3360,2000万,
379,微单，单电,价格面议,4/3画幅,17.3x13.0mm,Live MOS,松下GF10(单机),电子控制纵走式焦平面快门，快门按钮，手动快门，脸部快门，好友快门,触摸屏，旋转屏,4592×3448,1600万,
380,消费，卡片,3300,APS画幅（23.5*15.7mm）,,Foveon X3,适马DP2 Merrill,,高清屏,4704×3136,4600万,
381,消费，三防,999,1/2.3英寸,,CMOS,小米小蚁4K运动相机,,触摸屏,4000×3000,1200万,操作 操控性 可玩性 菜单功能 按键 功能
382,全景相机,2498,（1/2.3）英寸,,CMOS,Insta360 ONE X,,,,,
383,消费，卡片,658,1/2.3英寸,,Super HAD CCD,索尼W810,,,5152×3864,2010万,
384,微单,6999,APS-C画幅（23.5*15.6mm）,,Exmor CMOS sensor,索尼A6300套机(E 18-135mm OSS),电子控制纵走式焦平面快门,旋转屏,6000×4000,2420万,
385,高端单反,1.41万,全画幅（36*23.9mm）,清洁图像传感器，图像除尘参考数据（需要另购的Capture NX2 软件）,CMOS,尼康Df(单机),电子控制纵走式焦平面快门,高清屏,4928×3280,1625万,工艺 做工 设计 携带 便携性 手感 触感 握感 握把 握持 质感 手柄 菜单功能 按键 功能 结构 外形 外观
386,高端单反,价格面议,,,,尼康D850a,,,,,
387,中端单反,1.07万,APS画幅（22.4*15mm）,自动，手动，添加除尘数据,CMOS,佳能7D Mark II套机(18-135mm STM),电子控制焦平面快门,高清屏,5472×3648,2020万,外壳 机身 质地 使用体验 使用 手感 触感 握感 握把 握持 质感 手柄 菜单功能 按键 功能
388,消费，长焦，广角,1200,1/2.3英寸,配有原色滤镜,CCD,富士S4850,机械快门,,4608×3456,1600万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素 手感 触感 握感 握把 握持 质感 手柄
389,消费，卡片，长焦,385,1/2.3英寸,,CCD,佳能IXUS 150,,,4608×3456,1600万,
390,,概念产品,全画幅,,,索尼A9R,,,,,
391,消费，卡片，长焦,1899,1/2.3英寸,,背照式CMOS,尼康S9700s,机械电子快门,高清屏,4608×3456,1605万,结构 外形 外观 菜单功能 按键 功能
392,消费，卡片，长焦,1279,1/2.3英寸,,背照式CMOS,尼康S9600,机械电子快门,高清屏,4608×3456,1605万,防抖性 防抖 机震
393,消费，长焦，广角,1299,1/2.3英寸,,CMOS,富士S9800,,高清屏,4608×3456,1620万,
394,微单,1.27万,全画幅（35.8*23.9mm）,,Exmor CMOS,索尼A7 II套机(FE 24-70mm),电子控制纵走式焦平面快门,旋转屏，高清屏,6000×4000,2430万,工艺 做工 设计 操作 操控性 可玩性 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 手感 触感 握感 握把 握持 质感 手柄
395,消费，卡片,1699,1/1.7英寸,,CMOS,卡西欧ZR3500,机械电子快门,旋转屏，高清屏,,1210万,
396,微单,9298,APS-C画幅（23.5*15.6mm）,,Exmor CMOS sensor,索尼A6300套机(T*E 16-70mm ZA OSS),电子控制纵走式焦平面快门,旋转屏,6000×4000,2420万,外壳 机身 质地 结构 外形 外观 重量 分量 防水性 防尘 三防 防滑性 菜单功能 按键 功能 工艺 做工 设计
397,中端单反,4498,APS画幅（23.6*15.6mm）,除尘系统：清洁图像传感器，图像除尘参考数据（需要另购的Capture NX2软件）,CMOS,尼康D7000套机(18-140mm),电子控制纵走式焦平面快门,高清屏,4928×3264,1620万,操作 操控性 可玩性 工艺 做工 设计 手感 触感 握感 握把 握持 质感 手柄
398,高端单反,1.49万,全画幅（35.9*24mm）,清洁影像传感器、图像除尘参考数据（需要捕影工匠软件）,CMOS,尼康D750套机(24-70mm),电子控制纵走式焦平面快门,翻转屏，高清屏,6016×4016,2432万,手感 触感 握感 握把 握持 质感 手柄 菜单功能 按键 功能 外壳 机身 质地 工艺 做工 设计 体积 厚度 操作 操控性 可玩性 追焦 追踪
399,微单,2548,APS画幅（22.3*14.9mm）,除尘功能：开启/关闭电源时，可自动或手动实施,CMOS,佳能EOS M3(单机),电子控制焦平面快门,触摸屏，高清屏,6000×4000,2420万,操作 操控性 可玩性 工艺 做工 设计 体积 厚度 菜单功能 按键 功能
400,微单,8166,APS画幅（23.5*15.6mm）,,Exmor APS HD CMOS,索尼ILCE-6000套机(E 16-70mm),电子控制纵走式焦平面快门,高清屏，翻转屏,6000×4000,2430万,手感 触感 握感 握把 握持 质感 手柄 失败率 外壳 机身 质地 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 追焦 追踪 操作 操控性 可玩性 防抖性 防抖 机震
401,消费，长焦,1099,1/2.3英寸,,CMOS,佳能SX275 HS,机械电子快门,,4000×3000,1210万,
402,微单,2.22万,全画幅（35.6*23.8mm）,,CMOS,松下LUMIX S1套机 （R24105镜头）,,三向翻转屏幕,,2400万,
403,微单,1399,1/2.3英寸,"摄像元件通过""DR II""超声波抖动除尘",CMOS,宾得Q10套机(5-15mm),机械电子快门,,4000×3000,1240万,
404,单电,4999,4/3画幅（17.3*13mm）,,Live MOS,奥林巴斯E-M1(单机),,触摸屏，高清屏,4608×3456mm,1630万,防抖性 防抖 机震 工艺 做工 设计 夜拍 感光 防水性 防尘 三防 防滑性
405,消费，长焦，广角,1949,,,背照式CMOS,佳能SX530HS,,,4608×3456,1600万,菜单功能 按键 功能
406,消费，卡片,1098,1/2.3英寸,,Exmor R CMOS,索尼WX220,,,4896×3264,1820万,菜单功能 按键 功能 准确率 精度 准确度 清晰度 效率 片率 成功率 像素
407,微单,3999,APS画幅（23.2*15.4mm）,,Exmor APS HD CMOS,索尼ILCE-5000套机(E PZ 16-50mm，E 55-210mm),电子控制纵走式焦平面快门,翻转屏,5456×3632,2010万,外壳 机身 质地 手感 触感 握感 握把 握持 质感 手柄 菜单功能 按键 功能
408,消费，卡片，广角，三防,2699,1/2.3英寸,,CMOS,尼康W300s,机械电子快门,高清屏，OLED屏,4608×3456,1605万,防水性 防尘 三防 防滑性
409,微单,2199,4/3画幅,,Live MOS,奥林巴斯E-PL8套机(14-42mm II R),电子控制纵走式焦平面快门,触摸屏，旋转屏,4608×3456,1610万,
410,单反,价格面议,APS-C画幅,,,佳能4000D,,,,1800万,
411,消费，卡片，长焦，广角,777,1/2.3英寸,,CCD,佳能IXUS 155,,,5152×3864,2000万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素
412,中端单反,概念产品,,,,富士GFX100,,,,,
413,微单,1.37万,4/3画幅（17.3*13mm）,,Live MOS,松下GH5套机(12-60mm),电子控制纵走式焦平面快门,触摸屏,,2030万,结构 外形 外观 操作 操控性 可玩性
414,微单,7490,APS-C画幅（23.6*15.6mm）,,X-Trans CMOS III,富士X-T20套机(XF 18-55mm),电子控制纵走式焦平面快门,旋转屏,,2430万,操作 操控性 可玩性 体积 厚度 手感 触感 握感 握把 握持 质感 手柄
415,单电,4.37万,全画幅,,,哈苏HV套机(24-70mm f/2.8 ZA),,,,2430万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素
416,微单,1.68万,全画幅（35.9*24mm）,,Exmor CMOS,索尼ILCE-7R套机(FE 24-70mm),电子控制纵走式焦平面快门,旋转屏，高清屏,7360×4912,3640万,使用体验 使用 携带 便携性 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 手感 触感 握感 握把 握持 质感 手柄 操作 操控性 可玩性
417,入门单反,3958,APS画幅（23.5*15.6mm）,图像传感器清洁，气流控制系统，图像除尘参考数据（需搭配另购的Capture NX 2 软件）,CMOS,尼康D5300套机(18-105mm VR),电子控制纵走式焦平面快门,旋转屏，高清屏,,2416万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素 外壳 机身 质地 手感 触感 握感 握把 握持 质感 手柄
418,微单,2599,APS画幅（22.3*14.9mm）,除尘功能：开启/关闭电源时，可自动或手动实施,CMOS,佳能EOS M3套机(15-45mm IS STM),电子控制焦平面快门,触摸屏，高清屏,6000×4000,2420万,操作 操控性 可玩性 工艺 做工 设计 体积 厚度 菜单功能 按键 功能
419,消费，长焦，广角,1899,1/2.3英寸,,背照式CMOS,富士S8450,机械快门,高清屏,4608×3456,1620万,
420,中端单反,6400,APS画幅（22.3*14.9mm）,"长宽比：3:2 
除尘功能：自动，手动，添加除尘数据",CMOS,佳能60D套机(17-85mm IS),电子控制纵走式焦平面快门,旋转屏，高清屏,5184×3456,1800万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素 手感 触感 握感 握把 握持 质感 手柄 操作 操控性 可玩性 工艺 做工 设计
421,微单,概念产品,35.9x23.9mm,图像传感器格式：FX,CMOS,尼康Z5(单机),,触摸屏,,4575万,
422,微单,6199,APS-C画幅（22.3*14.9mm）,,CMOS,佳能EOS M5套机(18-150mm IS STM),电子控制纵走式焦平面快门,触摸屏，旋转屏,,2420万,工艺 做工 设计 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 手感 触感 握感 握把 握持 质感 手柄 体积 厚度 使用体验 使用 外壳 机身 质地
423,消费，卡片,6399,1英寸（13.2*8.8mm）,,Exmor RS CMOS,索尼RX100 VA存储卡套机,电子快门,旋转屏,5472×3648,2010万,
424,高端单反,4.41万,全画幅（35.9*23.9mm）,长宽比：3:2,CMOS,佳能EOS-1D X Mark II套机(24-70mm II),电子控制纵走式焦平面快门,触摸屏,5472×3648,2020万,噪音 声音 菜单功能 按键 功能
425,微单,价格面议,APS-C画幅,,,佳能EOS M1,,,,,
426,全画幅旁轴数码相机,4.39万,全画幅（23.9*35.8mm）,,CCD,徕卡M-E,电子控制式金属纵向快门,,5212×3472,1800万,
427,消费,940,1/2.3英寸,,CCD,尼康L330,机械电子快门,高清屏,5152×3864,2016万,操作 操控性 可玩性 准确率 精度 准确度 清晰度 效率 片率 成功率 像素
428,,4.18万,,,,飞思645DF+,焦平面快门，叶片式快门,,,100万,
429,微单,4599,APS-C画幅（22.3*14.9mm）,,CMOS,佳能EOS M100套机(15-45mm，55-200mm IS STM),电子控制纵走式焦平面快门,触摸屏，旋转屏,6000×4000,2420万,工艺 做工 设计 外壳 机身 质地 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 操作 操控性 可玩性 结构 外形 外观
430,消费，广角，专业,1979,1/1.7英寸,,CCD,佳能S200,,,3648×2736,1010万,
431,入门单反,2998,APS画幅（22.3*14.9mm）,自动，手动，添加除尘数据,CMOS,佳能100D套机(EF-S 18-55mm STM),电子控制焦平面快门,触摸屏，高清屏,5184×3456,1800万,手感 触感 握感 握把 握持 质感 手柄 结构 外形 外观 噪音 声音 携带 便携性
432,入门单反,3199,APS画幅（23.2*15.4mm）,影像感应器清洁，影像除尘参照数据（需要可选择的Capture NX 2软件）,CMOS,尼康D3200套机(18-105mm),电子控制纵走式焦平面快门,高清屏,6016×4000,2416万,工艺 做工 设计 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 外壳 机身 质地
433,消费，卡片,1899,1/2.3英寸,,背照式CMOS,尼康S9900s,机械电子快门,翻转屏，高清屏,4608×3456,1605万,
434,三防,2.39万,APS-C画幅,,CMOS,徕卡X-U(Typ 113),,LCD,,1650万,
435,微单,概念产品,M4/3画幅,,CMOS,永诺YN450,,,,1600万,
436,高端单反,3.46万,全画幅（35.9*24mm）,除尘系统：影像除尘参考数据（需要另购的Capture NX2软件）,CMOS,尼康D3X套机(24-70mm),电子控制纵走式焦平面快门,高清屏,6048×4032,2450万,外壳 机身 质地 手感 触感 握感 握把 握持 质感 手柄 结构 外形 外观 使用体验 使用 体积 厚度
437,微单,4779,APS画幅（23.5*15.6mm）,,Exmor APS HD CMOS,索尼ILCE-6000套机(E PZ 16-50mm，55-210mm),电子控制纵走式焦平面快门,高清屏，翻转屏,6000×4000,2430万,手感 触感 握感 握把 握持 质感 手柄 失败率 外壳 机身 质地 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 追焦 追踪 操作 操控性 可玩性 防抖性 防抖 机震
438,消费，长焦，广角,1499,1/2.3英寸,配有原色滤镜,CCD,富士S8600,机械快门,,4608×3456,1600万,
439,微单,5399,4/3画幅（17.3*13mm）,,4/3 Live MOS,奥林巴斯E-M10 III套机(14-42mm EZ),机械电子快门,触摸屏，旋转屏,,1610万,
440,消费，专业,1.53万,1英寸（13.2*8.8mm）,,,哈苏Stellar限量版,,,,2020万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素
441,原型相机,33600,4/3画幅,,,夏普8K MFT相机,,旋转屏,,,
442,4/3系统数码单电,6699,4/3画幅,,Live MOS,松下GX8(单机),,,,2030万,续航 电池 准确率 精度 准确度 清晰度 效率 片率 成功率 像素
443,消费,4400,1英寸,,CMOS,松下ZS100,,触摸屏,,2000万,
444,微单,4698,4/3画幅（17.3*13mm）,原色滤镜,Live MOS,松下GF7套机(35-100mm),电控焦平面快门，电子快门,触摸屏，翻转屏，高清屏,4592×3448,1600万,
445,消费，卡片,3300,APS画幅（23.5*15.7mm）,,Foveon X3,适马DP3 Merrill,,高清屏,4704×3136,1536万,工艺 做工 设计
446,消费，卡片，长焦，广角,1099,其它尺寸（1/2.33英寸）,,Live MOS,松下ZS35,机械电子快门,高清屏,4608×3456,1600万,操作 操控性 可玩性
447,中端单反,3199,APS画幅（23.7*15.7mm）,除尘：感光元件抖动和SP镀膜,CMOS,宾得K-50套机(L 18-55mm WR),电子控制纵走式焦平快门,高清屏,4928×3264,1628万,菜单功能 按键 功能 工艺 做工 设计 防水性 防尘 三防 防滑性 外壳 机身 质地 携带 便携性 使用体验 使用
448,微单,9588,APS-H画幅（26.6*17.9mm）,,Foveon X3,适马SD Quattro H,,高清屏,,4480万,
449,消费，卡片，长焦,4899,1/1.7英寸,,背照式CMOS,卡西欧EX-100,,旋转屏，高清屏,4000×3000,1210万,手感 触感 握感 握把 握持 质感 手柄 菜单功能 按键 功能
450,单电,8799,APS画幅（23.5*15.7mm）,,背照式CMOS,三星NX1(单机),,触摸屏，OLED屏,6480×4320,2820万,工艺 做工 设计
451,消费，长焦，广角,1799,1/2.3英寸,,背照式CMOS,奥林巴斯SP-100EE,,高清屏,4608×3456,1600万,菜单功能 按键 功能
452,长焦,2368,1/2.3英寸,,,松下FZ80,,触摸屏,,1800万,
453,高端单反,8.9万,,,CMOS,哈苏H5D-50C,,,,5000万,
454,消费，卡片，广角,2270,1/1.7英寸,,背照式CMOS,尼康P340,机械电子快门,高清屏,4000×3000,1219万,手握 持握 携带 便携性
455,消费,4299,,,Foven X3,适马DP0 Quattro,,高清屏,7680×5120,,
456,入门单反,4290,APS画幅（23.5*15.6mm）,除尘：感光元件驱动及SP镀层,CMOS,宾得K-S1套机(18-55mm),电子控制纵走式焦平面快门,高清屏,5472×3648,2012万,菜单功能 按键 功能 操作 操控性 可玩性 结构 外形 外观 准确率 精度 准确度 清晰度 效率 片率 成功率 像素
457,入门单反,4056,APS画幅（23.5*15.6mm）,,CMOS,尼康D5600套机(AF-P 18-55mm VR),电子控制纵走式焦平面快门,触摸屏，旋转屏,6000×4000,2416万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素 菜单功能 按键 功能 外壳 机身 质地
458,高端单反,4.65万,全画幅（35.9*23.9mm）,,CMOS,尼康D5套机(24-70mm),电子控制纵走式焦平面快门,触摸屏,5568×3712,2082万,追焦 追踪 工艺 做工 设计 携带 便携性 夜拍 感光 操作 操控性 可玩性
459,长焦,3399,1/2.3英寸,,BSI-CMOS,松下FZ300GKK,,TFT液晶显示屏,,1210万,
460,高端单反,3.1万,中画幅（44*33mm）,原色滤光镜,CCD,宾得645D套机(55mm),电子控制纵走式焦平面快门，B门,高清屏,7264×5440,4000万,操作 操控性 可玩性 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 手感 触感 握感 握把 握持 质感 手柄 工艺 做工 设计 使用体验 使用
461,高端单反,1.54万,全画幅（35.9*24mm）,,CMOS,宾得K-1套机(DFA 28-105mm),电子控制纵走式焦平面快门,旋转屏，高清屏,7360×4912,3640万,外壳 机身 质地 防抖性 防抖 机震 菜单功能 按键 功能 工艺 做工 设计 手感 触感 握感 握把 握持 质感 手柄 准确率 精度 准确度 清晰度 效率 片率 成功率 像素
462,入门单反,5999,APS画幅（22.3*14.9mm）,除尘功能：自动，手动，添加除尘数据,CMOS,佳能760D套机(18-135mm),电子控制焦平面快门,触摸屏，高清屏,6000×4000,2420万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素 外壳 机身 质地 工艺 做工 设计 操作 操控性 可玩性 结构 外形 外观
